Krokus 	 Screaming in the Night 	
Black Sabbath 	 Iron Man 	
Alice Cooper 	 School's Out 	
Blue Cheer 	 Summertime Blues 	
Blue Öyster Cult 	 Don't Fear the Reaper 	
Deep Purple 	 Smoke on the Water 	
Flower Travellin' Band 	 Satori Part I 	
Hawkwind 	 Silver Machine 	
Jimi Hendrix 	 Purple Haze 	
King Crimson 	 21st Century Schizoid Man 	
Led Zeppelin 	 Stairway to Heaven 	
Rush 	 Tom Sawyer 	
The Stooges 	 I Wanna Be Your Dog 	
Thin Lizzy 	 The Boys Are Back in Town 	
MC5 	 Kick Out the Jams 	
Krokus 	 Headhunter 	
Black Sabbath 	 Paranoid 	
Alice Cooper 	 No More Mr. Nice Guy 	
Blue Cheer 	 Doctor Please 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Highway Star 	
Flower Travellin' Band 	 Make Up 	
Hawkwind 	 Master of the Universe 	
Jimi Hendrix 	 Voodoo Child (Slight Return) 	
King Crimson 	 Epitaph 	
Led Zeppelin 	 Whole Lotta Love 	
Rush 	 Limelight 	
The Stooges 	 Search and Destroy 	
Thin Lizzy 	 Jailbreak 	
MC5 	 Ramblin' Rose 	
Krokus 	 Long Stick Goes Boom 	
Black Sabbath 	 Children of the Grave 	
Alice Cooper 	 I'm Eighteen 	
Blue Cheer 	 Out of Focus 	
Blue Öyster Cult 	 Cities on Flame with Rock and Roll 	
Deep Purple 	 Child in Time 	
Flower Travellin' Band 	 Hiroshima 	
Hawkwind 	 Hurry on Sundown 	
Jimi Hendrix 	 Fire 	
King Crimson 	 The Court of the Crimson King 	
Led Zeppelin 	 Kashmir 	
Rush 	 YYZ 	
The Stooges 	 Fun House 	
Thin Lizzy 	 Dancing in the Moonlight 	
MC5 	 Looking at You 	
Krokus 	 American Woman 	
Black Sabbath 	 Fairies Wear Boots 	
Alice Cooper 	 Billion Dollar Babies 	
Blue Cheer 	 Parchment Farm 	
Blue Öyster Cult 	 Veteran of the Psychic Wars 	
Flower Travellin' Band 	 Satori Part II 	
Hawkwind 	 Lord of Light 	
Jimi Hendrix 	 All Along the Watchtower 	
King Crimson 	 In the Court of the Crimson King 	
