Camilo José Cela 	 La familia de Pascual Duarte				
Miguel de Unamuno 	 Niebla				
Ernest Hemingway 	 Adiós a las armas				
William Faulkner 	 Mientras agonizo				
John Steinbeck 	 Tortilla Flat				
Sherwood Anderson 	 Winesburg, Ohio				
Luis Berenguer 	 El mundo de Juan Lobón				
Umberto Eco 	 El nombre de la rosa				
Julio Cortázar 	 Rayuela				
Gabriel García Márquez 	 Cien años de soledad				
Mario Vargas Llosa 	 La guerra del fin del mundo				
Richard Matheson 	 La casa infernal				
Octave Mirbeau 	 El jardín de los suplicios				
Iceberg Slim 	 Pimp				
Charles Bukowski 	 Factotum				
Antonio Muñoz Molina 	 La lluvia amarilla				
Juan Benet 	 Volverás a Región				
José Saramago 	 Ensayo sobre la ceguera				
José Luis Sampedro 	 La sonrisa etrusca				
Pío Baroja 	 Las noches del Buen Retiro				
Ian Gibson 	 El vicio inglés				
Jim Goad 	 Manifiesto redneck				
Gonzalo Torrente Ballester 	 Crónica del rey pasmado				
Mario Cavattore 	 El inseminador				
David Mazzucchelli 	 Asterios Polyp				
Hari Kunzru 	 El transformista				
Li Yu 	 La alfombrilla de los goces y los rezos				
Niccolò Machiavelli 	 El príncipe				
Ryu Murakami 	 Sopa de miso				
Wenceslao Fernández Flórez 	 El bosque animado				
Cela, Camilo José 	 Madera de boj				
Cela, Camilo José 	 La colmena				
Driss Amed 	 Una vida llena de agujeros				
Antonio Pigafetta 	 Primer viaje en torno del globo				
Octave Mirbeau 	 El abate Caire				
William Faulkner 	 Luz de agosto				
John Fante 	 Pregúntale al polvo				
Hubert Selby Jr. 	 Última salida: Brooklyn				
Henry Miller 	 Trópico de Cáncer				
Ana María Matute 	 Los hijos muertos				
Juan Goytisolo 	 Señas de identidad				
José Donoso 	 El obsceno pájaro de la noche				
Alfredo Bryce Echenique 	 Un mundo para Julius				
Juan Rulfo 	 Pedro Páramo				
Clarice Lispector 	 La hora de la estrella				
Patrick Süskind 	 El perfume				
Truman Capote 	 A sangre fría				
Flannery O’Connor 	 Un hombre bueno es difícil de encontrar				
Carson McCullers 	 El corazón es un cazador solitario				
Michel Houellebecq 	 Sumisión				
Bret Easton Ellis 	 American Psycho				
Chuck Palahniuk 	 El club de la lucha				
Thomas Pynchon 	 El arco iris de gravedad				
Don DeLillo 	 Ruido de fondo				
William Golding 	 El señor de las moscas				
José Luis Peixoto 	 Cuerpo limpio				
Javier Marías 	 Corazón tan blanco				
Enrique Anderson Imbert 	 La casa del ángel				
Horacio Quiroga 	 Cuentos de la selva				
Juan José Millás 	 El mundo				
Robert Musil 	 El hombre sin atributos				
Albert Camus 	 El extranjero				
Fyodor Dostoyevsky 	 Crimen y castigo				
F. Scott Fitzgerald 	 El gran Gatsby				
Jack London 	 Colmillo blanco				
Herman Melville 	 Bartleby, el escribiente				
Edgar Allan Poe 	 Cuentos completos				
Nathanael West 	 El día de la langosta				
Richard Wright 	 Hijo nativo				
Ralph Ellison 	 El hombre invisible				
James Baldwin 	 Otra vez la misma historia				
Toni Morrison 	 Beloved				
Zora Neale Hurston 	 Sus ojos miraban a Dios				
Carson McCullers 	 Reflejos en un ojo dorado				
Graham Greene 	 El poder y la gloria				
Evelyn Waugh 	 Retorno a Brideshead				
William Styron 	 La decisión de Sophie				
Anthony Burgess 	 La naranja mecánica				
Flannery O’Connor 	 El río				
Saul Bellow 	 Henderson el rainero				
Norman Mailer 	 Los desnudos y los muertos				
John Cheever 	 Falconer				
Vladimir Nabokov 	 Lolita				
Ian McEwan 	 Expiación				
Kazuo Ishiguro 	 Los restos del día				
Haruki Murakami 	 Tokio blues (Norwegian Wood)				
Don DeLillo 	 Submundo				
Thomas Mann 	 La montaña mágica				
H. P. Lovecraft 	 La llamada de Cthulhu				
Richard Wright 	 La clave del negro				
Ralph Ellison 	 Shadow and Act				
William Faulkner 	 El ruido y la furia				
Albert Camus 	 La peste				
Franz Kafka 	 El proceso				
Franz Kafka 	 La metamorfosis				
George Orwell 	1984				
Aldous Huxley 	 Un mundo feliz				
Miguel Delibes 	 Los santos inocentes				
Juan García Ponce 	 La casa en la playa				
Juan José Saer 	 El entenado				
Roberto Arlt 	 Los siete locos				
Manuel Vázquez Montalbán 	 Los mares del Sur				
Antonio Di Benedetto 	 Zama				
Juan Carlos Onetti 	 El astillero				
Adolfo Bioy Casares 	 La invención de Morel				
Julio Ramón Ribeyro 	 Los gallinazos sin plumas				
José Revueltas 	 El apando				
Carlos Monsiváis 	 Días de guardar				
Manuel Mujica Lainez 	 Bomarzo				
Ricardo Piglia 	 Plata quemada				
Juan Benet 	 Una meditación				
José Donoso 	 Coronación				
Ana María Matute 	 Primera memoria				
Carmen Martín Gaite 	 Entre visillos				
Rosa Montero 	 La loca de la casa				
Juan José Millás 	 El desorden de tu nombre				
Javier Marías 	 Mañana en la batalla piensa en mí				
César Aira 	 El tilo				
Alberto Méndez 	 Los girasoles ciegos				
Luis Mateo Díez 	 La fuente de la edad				
Francisco Umbral 	 Mortal y rosa				
Luis Goytisolo 	 Antagonía				
Juan Rulfo 	 El llano en llamas				
Carlos Fuentes 	 La muerte de Artemio Cruz				
José Luis Sampedro 	 El río que nos lleva				
José María Merino 	 La mujer de sombra				
Rosa Montero 	 Crónica del desamor				
